uri	names_arr
http://pleiades.stoa.org/places/138248	Burdigala,Burdigalenses,Bordeaux
http://pleiades.stoa.org/places/138599	Stomatas
http://pleiades.stoa.org/places/138593	Sirio
http://pleiades.stoa.org/places/138313	Cossium,Civitas Vasatica,Vasates
http://pleiades.stoa.org/places/138626	Tres Arbores
http://pleiades.stoa.org/places/138504	Oscincium
http://pleiades.stoa.org/places/246662	Sotium,Scittio
http://pleiades.stoa.org/places/246380	Elusa,Elusates,Tasta,Eauze
http://pleiades.stoa.org/places/246727	Vanesia
http://pleiades.stoa.org/places/246379	Elimberrum,Climberrum,Elimberrum Ausciorum Augusta,Auch
http://pleiades.stoa.org/places/206893	Ad Sextum Miliarem
http://pleiades.stoa.org/places/246420	Hungunverro
http://pleiades.stoa.org/places/246260	Bucconis
http://pleiades.stoa.org/places/246136	Ad Iovem
http://pleiades.stoa.org/places/246694	Tolosa,Col. Iulia Tolosa,Civ. Tectosagum,Tolosates,Toulouse
http://pleiades.stoa.org/places/246137	Ad Nonum
http://pleiades.stoa.org/places/246143	Ad Vicesimum
http://pleiades.stoa.org/places/246381	Elusio,Elesiodulis',Saint-Pierre-d'Alzonne,Montferrand]
http://pleiades.stoa.org/places/246660	Sostomagus,Sextomagus,Castelnaudary
http://pleiades.stoa.org/places/246413	Hebromagus,Eburomagus,Bram
http://pleiades.stoa.org/places/246320	Cedros
http://pleiades.stoa.org/places/246294	Carcasso,Carcaso,Col. Iulia,Carcasum Volcarum Tectosagarum,Carcassonne
http://pleiades.stoa.org/places/246706	Tricensimum
http://pleiades.stoa.org/places/246720	Usuerva,Husuerbas,Usuerna
http://pleiades.stoa.org/places/246347	Col. Narbo Martius,Col. Iulia Paterna Claudia,Narbonne
http://pleiades.stoa.org/places/148056	Col. Baeterrae,Col. Victrix Iulia Paterna,Béziers
http://pleiades.stoa.org/places/147997	Araura,Cessero,Saint-Thibéry,Cesse Rone
http://pleiades.stoa.org/places/148202	Sextantio,Substantion
http://pleiades.stoa.org/places/147990	Ambrussum,Pont-Ambroix (Ambrussum)
http://pleiades.stoa.org/places/148142	Nemausus,Nîmes,Nemausos
http://pleiades.stoa.org/places/148160	Pons Aerarius
http://pleiades.stoa.org/places/148217	Theline,Col. Arelate,Constantina,Col. Iulia Paterna Sextanorum Arelate,Arles
http://pleiades.stoa.org/places/148074	Ernaginum
http://pleiades.stoa.org/places/148019	Bellintum
http://pleiades.stoa.org/places/148004	Avennio,Avignon
http://pleiades.stoa.org/places/148065	Cypresseta
http://pleiades.stoa.org/places/148054	Col. Arausio,Col. Firma Iulia Arausio Secundanorum,Orange
http://pleiades.stoa.org/places/167616	Ad Letoce
http://pleiades.stoa.org/places/167856	Novem Craris,Le Logis de Berre
http://pleiades.stoa.org/places/167627	Akousion,Acunum
http://pleiades.stoa.org/places/167668	Batiana
http://pleiades.stoa.org/places/167947	Umbennum
http://pleiades.stoa.org/places/167718	Col. Valentia,Valence
http://pleiades.stoa.org/places/167705	Cerebelliaca
http://pleiades.stoa.org/places/167658	Augusta
http://pleiades.stoa.org/places/167737	Darentiaca
http://pleiades.stoa.org/places/167716	Col. Dea Vocontiorum,Vocontii,Die
http://pleiades.stoa.org/places/167815	Lucus Augusti
http://pleiades.stoa.org/places/167978	Vologatae
http://pleiades.stoa.org/places/167697	Cambonum
http://pleiades.stoa.org/places/167836	Mons Seleucus
http://pleiades.stoa.org/places/167738	Davianum
http://pleiades.stoa.org/places/167615	Ad Finem
http://pleiades.stoa.org/places/167954	Vappincum
http://pleiades.stoa.org/places/167701	Caturigomagus
http://pleiades.stoa.org/places/167750	Eburodunum,Ebrudunum,Ebrodunum
http://pleiades.stoa.org/places/167881	Rama
http://pleiades.stoa.org/places/167691	Brigantio
http://pleiades.stoa.org/places/167778	Gaesao,Tyrium
http://pleiades.stoa.org/places/167617	Ad Martis
http://pleiades.stoa.org/places/167919	Segusio,Segusini,Susa
http://pleiades.stoa.org/places/167623	Ad XII
http://pleiades.stoa.org/places/383545	Ad Fines
http://pleiades.stoa.org/places/383557	Ad VIII
http://pleiades.stoa.org/places/383580	Augusta Taurinorum,Torino
http://pleiades.stoa.org/places/383558	Ad X
http://pleiades.stoa.org/places/383753	Quadrata
http://pleiades.stoa.org/places/383616	Cestae,Ceste
http://pleiades.stoa.org/places/383759	Rigomagus
http://pleiades.stoa.org/places/383610	Carbantia,Ad Medias
http://pleiades.stoa.org/places/383630	Cuttiae
http://pleiades.stoa.org/places/383690	Laumellum
http://pleiades.stoa.org/places/383637	Durriae
http://pleiades.stoa.org/places/383798	Ticinum,Pavia
http://pleiades.stoa.org/places/383559	Ad X
http://pleiades.stoa.org/places/383706	Mediolanium,Mediolanum,Milan,Milano
http://pleiades.stoa.org/places/383575	Argentea
http://pleiades.stoa.org/places/383747	Pons Aureoli
http://pleiades.stoa.org/places/383589	Bergomum
http://pleiades.stoa.org/places/383796	Tellegate
http://pleiades.stoa.org/places/383797	Tetellus
http://pleiades.stoa.org/places/383603	Brixia,Brescia
http://pleiades.stoa.org/places/383546	Ad Flexum,Sermione Mansio
http://pleiades.stoa.org/places/383588	Beneventum
http://pleiades.stoa.org/places/383816	Verona
http://pleiades.stoa.org/places/393396	Cadianum
http://pleiades.stoa.org/places/393387	Auraei
http://pleiades.stoa.org/places/393513	Vicetia,Vicenza
http://pleiades.stoa.org/places/393361	Ad Finem
http://pleiades.stoa.org/places/393473	Patavium,Padova
http://pleiades.stoa.org/places/393359	Ad XII,Meduacus Maior
http://pleiades.stoa.org/places/393358	Ad IX
http://pleiades.stoa.org/places/393374	Altinum
http://pleiades.stoa.org/places/393369	Ad Sanos
http://pleiades.stoa.org/places/393441	Iulia Concordia
http://pleiades.stoa.org/places/187287	Apicilia
http://pleiades.stoa.org/places/187260	Ad Undecimum 1
http://pleiades.stoa.org/places/187290	Aquileia,Aquileia
http://pleiades.stoa.org/places/187261	Ad Undecimum 2
http://pleiades.stoa.org/places/197063	Ad Fornulos
http://pleiades.stoa.org/places/197276	Fluvio Frigido,Castra
http://pleiades.stoa.org/places/197317	In Alpe Iulia,Ad Pirum
http://pleiades.stoa.org/places/197357	Longaticum
http://pleiades.stoa.org/places/197076	Ad Nonum
http://pleiades.stoa.org/places/197258	Emona,Ljubljana
http://pleiades.stoa.org/places/197082	Ad Quartodecimum
http://pleiades.stoa.org/places/197147	Atrans
