collection;place_id;toponym;gazetteer_uri;gazetteer_label;lng;lat
bor;bor_295;ad sextum miliarem;http://pleiades.stoa.org/places/206893;ad sextum miliarem;20.717212;44.669976
bor;bor_274;tripoli;http://pleiades.stoa.org/places/668394;tripoli;35.812;34.449
bor;bor_293;neapoli;http://pleiades.stoa.org/places/678301;neapoli;35.26293;32.216511
bor;bor_122;cocconis;http://pleiades.stoa.org/places/197215;cocconis;17.74;45.805
bor;bor_178;sernota;http://pleiades.stoa.org/places/216980;sernota;24.932699;42.187336
bor;bor_201;nassete;http://pleiades.stoa.org/places/521092;nassete;29.131811;40.918692
bor;bor_46;darentiaca;http://pleiades.stoa.org/places/167737;darentiaca;5.197155;44.697838
bor;bor_123;serota;http://pleiades.stoa.org/places/197508;serota;17.3837765;45.8334097
bor;bor_238;parnasso;http://pleiades.stoa.org/places/619235;parnasso;33.586987;39.054632
bor;bor_179;paramuole;http://pleiades.stoa.org/places/216920;paramuole;25.047069;42.198004
bor;bor_47;dea vocontiorum;http://pleiades.stoa.org/places/167716;dea vocontiorum;5.37102;44.75216
bor;bor_239;iogola;http://pleiades.stoa.org/places/619232;iogola;33.711367;38.871019
bor;bor_180;cillio;http://pleiades.stoa.org/places/216767;cillio;25.2261151;42.216088
bor;bor_125;maurianis;http://pleiades.stoa.org/places/197370;maurianis;18.161;45.759
bor;bor_240;nitalis;http://pleiades.stoa.org/places/619220;nitalis;33.912591;38.709571
bor;bor_181;carassura;http://pleiades.stoa.org/places/216750;carassura;25.385306;42.240488
bor;bor_48;luco;http://pleiades.stoa.org/places/167815;luco;5.4515;44.6157
bor;bor_241;argustana;http://pleiades.stoa.org/places/619115;argustana;34.032157;38.566309
bor;bor_49;vologatis;http://pleiades.stoa.org/places/167978;vologatis;5.5596675;44.5719477
bor;bor_182;arzo;http://pleiades.stoa.org/places/216714;arzo;25.870228;42.077569
bor;bor_126;serena;http://pleiades.stoa.org/places/197507;serena;18.064;45.751
bor;bor_242;colonia;http://pleiades.stoa.org/places/619164;colonia;34.028835;38.374149
bor;bor_183;palae;http://pleiades.stoa.org/places/501384;palae;26.094954;41.933492
bor;bor_127;vereis;http://pleiades.stoa.org/places/197576;vereis;18.267;45.731
bor;bor_243;momoasson;http://pleiades.stoa.org/places/619212;momoasson;34.167749;38.41672
bor;bor_50;cambono;http://pleiades.stoa.org/places/167697;cambono;5.684937;44.530062
bor;bor_185;rhamis;http://pleiades.stoa.org/places/501381;rhamis;26.2019433;41.7654876
bor;bor_244;anathiango;http://pleiades.stoa.org/places/619218;anathiango;34.3497935;38.398047
bor;bor_51;monte seleuci;http://pleiades.stoa.org/places/167836;monte seleuci;5.75141;44.457432
bor;bor_128;ioualia;http://pleiades.stoa.org/places/197325;ioualia;18.4171;45.6589
bor;bor_186;burdista;http://pleiades.stoa.org/places/501526;burdista;26.823461;41.549461
bor;bor_245;chusa;http://pleiades.stoa.org/places/619139;chusa;34.448556;38.376942
