segment	source	target	sourcen	sourcep	targetn	targetp	distance	unit
1			burdigala	http://pleiades.stoa.org/places/138248	stomatas	http://pleiades.stoa.org/places/138599	7	league
2			stomatas	http://pleiades.stoa.org/places/138599	sirione	http://pleiades.stoa.org/places/138593	9	league
3			sirione	http://pleiades.stoa.org/places/138593	vasatas	http://pleiades.stoa.org/places/138313	8	league
4			vasatas	http://pleiades.stoa.org/places/138313	tres arbores	http://pleiades.stoa.org/places/138626	5	league
5			tres arbores	http://pleiades.stoa.org/places/138626	oscineio	http://pleiades.stoa.org/places/138504	8	league
6			oscineio	http://pleiades.stoa.org/places/138504	scittio	http://pleiades.stoa.org/places/246662	8	league
7			scittio	http://pleiades.stoa.org/places/246662	elusa	http://pleiades.stoa.org/places/246380	8	league
8			elusa	http://pleiades.stoa.org/places/246380	vanesia	http://pleiades.stoa.org/places/246727	12	league
9			vanesia	http://pleiades.stoa.org/places/246727	auscius	http://pleiades.stoa.org/places/246379	8	league
10			auscius	http://pleiades.stoa.org/places/246379	ad sextum	http://pleiades.stoa.org/places/206893	6	league
11			ad sextum	http://pleiades.stoa.org/places/206893	hungunuerro	http://pleiades.stoa.org/places/246420	7	league
12			hungunuerro	http://pleiades.stoa.org/places/246420	bucconis	http://pleiades.stoa.org/places/246260	7	league
13			bucconis	http://pleiades.stoa.org/places/246260	ad iouem	http://pleiades.stoa.org/places/246136	7	league
14			ad iouem	http://pleiades.stoa.org/places/246136	tholosa	http://pleiades.stoa.org/places/246694	7	league
15			tholosa	http://pleiades.stoa.org/places/246694	ad nonum	http://pleiades.stoa.org/places/246137	9	league
16			ad nonum	http://pleiades.stoa.org/places/246137	ad vicesimum	http://pleiades.stoa.org/places/246143	11	mile
17			ad vicesimum	http://pleiades.stoa.org/places/246143	elusione	http://pleiades.stoa.org/places/246381	9	mile
18			elusione	http://pleiades.stoa.org/places/246381	sostomago	http://pleiades.stoa.org/places/246660	9	mile
19			sostomago	http://pleiades.stoa.org/places/246660	hebromago	http://pleiades.stoa.org/places/246413	10	mile
20			hebromago	http://pleiades.stoa.org/places/246413	cedros	http://pleiades.stoa.org/places/246320	6	mile
21			cedros	http://pleiades.stoa.org/places/246320	castellum carcassone	http://pleiades.stoa.org/places/246294	8	mile
22			castellum carcassone	http://pleiades.stoa.org/places/246294	tricensimum	http://pleiades.stoa.org/places/246706	8	mile
23			tricensimum	http://pleiades.stoa.org/places/246706	hosuerbas	http://pleiades.stoa.org/places/246720	15	mile
24			hosuerbas	http://pleiades.stoa.org/places/246720	narbone	http://pleiades.stoa.org/places/246347	15	mile
25			narbone	http://pleiades.stoa.org/places/246347	beterris	http://pleiades.stoa.org/places/148056	16	mile
26			beterris	http://pleiades.stoa.org/places/148056	cessarone	http://pleiades.stoa.org/places/147997	12	mile
27			cessarone	http://pleiades.stoa.org/places/147997	foro domiti		18	mile
28			foro domiti		sostantione	http://pleiades.stoa.org/places/148202	15	mile
29			sostantione	http://pleiades.stoa.org/places/148202	ambrosi	http://pleiades.stoa.org/places/147990	15	mile
30			ambrosi	http://pleiades.stoa.org/places/147990	nemauso	http://pleiades.stoa.org/places/148142	15	mile
31			nemauso	http://pleiades.stoa.org/places/148142	ponte aerarium	http://pleiades.stoa.org/places/148160	16	mile
