collection;route_id;segment_id;source;target;label;geometry;timespan;duration;follows;distance
bor;7000;7000-145;bor_143;bor_295;tricornia castra->ad sextum;LINESTRING(20.65 44.7333333,20.717212 44.669976);0333-01-01,,,0334-12-31;?;7000-144;7 miles
bor;7000;7000-27;bor_27;bor_296;cessarone->foro domiti;;0333-01-01,,,0334-12-31;?;7000-26;18 miles
bor;7000;7000-232;bor_221;bor_222;milia->iuliopolis;LINESTRING(31.342518 40.197085,31.6450025 40.107062);0333-01-01,,,0334-12-31;?;7000-231;8 miles
bor;7000;7000-235;bor_224;bor_225;agannia->petrobrogen;LINESTRING(31.9622515 40.0219715,32.016977 40.053953);0333-01-01,,,0334-12-31;?;7000-234;6 miles
bor;7000;7000-236;bor_225;bor_226;petrobrogen->mnizos;LINESTRING(32.016977 40.053953,32.2489715 40.04443);0333-01-01,,,0334-12-31;?;7000-235;10 miles
bor;7000;7000-237;bor_226;bor_227;mnizos->prasmon;LINESTRING(32.2489715 40.04443,32.249382 40.109949);0333-01-01,,,0334-12-31;?;7000-236;12 miles
bor;7000;7000-28;bor_296;bor_28;foro domiti->sostantione;;0333-01-01,,,0334-12-31;?;7000-27;15 miles
bor;7000;7000-143;bor_142;bor_297;singiduno->ad sextum;;0333-01-01,,,0334-12-31;?;7000-142;6 miles
bor;7000;7000-144;bor_297;bor_143;ad sextum->tricornia castra;;0333-01-01,,,0334-12-31;?;7000-143;6 miles
bor;7000;7000-238;bor_227;bor_228;prasmon->malogordis;LINESTRING(32.249382 40.109949,32.429558 40.084044);0333-01-01,,,0334-12-31;?;7000-237;9 miles
bor;7000;7000-239;bor_228;bor_229;malogordis->cenaxem palidem;LINESTRING(32.429558 40.084044,32.6625835 39.9844845);0333-01-01,,,0334-12-31;?;7000-238;13 miles
bor;7000;7000-179;bor_298;bor_299;bona mansio->alusore;;0333-01-01,,,0334-12-31;?;7000-178;9 miles
bor;7000;7000-180;bor_299;bor_176;alusore->basapare;;0333-01-01,,,0334-12-31;?;7000-179;12 miles
bor;7000;7000-182;bor_300;bor_177;tugugero->filopopuli;;0333-01-01,,,0334-12-31;?;7000-181;12 miles
bor;7000;7000-208;bor_301;bor_200;regio->constantinopoli;;0333-01-01,,,0334-12-31;?;7000-207;12 miles
bor;7000;7000-240;bor_229;bor_230;cenaxem palidem->anchira galatia;LINESTRING(32.6625835 39.9844845,32.858128 39.944387);0333-01-01,,,0334-12-31;?;7000-239;13 miles
bor;7000;7000-241;bor_230;bor_231;anchira galatia->delemna;LINESTRING(32.858128 39.944387,32.75 39.75);0333-01-01,,,0334-12-31;?;7000-240;10 miles
bor;7000;7000-242;bor_231;bor_232;delemna->curueunta;LINESTRING(32.75 39.75,32.87447 39.69484);0333-01-01,,,0334-12-31;?;7000-241;11 miles
bor;7000;7000-224;bor_302;bor_215;tutaio->protunica;;0333-01-01,,,0334-12-31;?;7000-223;11 miles
bor;7000;7000-229;bor_303;bor_219;fines->dadastano;;0333-01-01,,,0334-12-31;?;7000-228;6 miles
bor;7000;7000-258;bor_247;bor_248;andauilis->thyana;LINESTRING(34.67349 38.0394955,34.568378 37.817319);0333-01-01,,,0334-12-31;?;7000-257;18 miles
bor;7000;7000-299;;bor_283;ad nonum->tyro;;0333-01-01,,,0334-12-31;?;7000-298;12 miles
bor;7000;7000-278;bor_304;bor_305;platanus->baccaias;;0333-01-01,,,0334-12-31;?;7000-277;8 miles
bor;7000;7000-279;bor_305;bor_306;baccaias->catelas;;0333-01-01,,,0334-12-31;?;7000-278;16 miles
bor;7000;7000-280;bor_306;bor_267;catelas->ladica;;0333-01-01,,,0334-12-31;?;7000-279;16 miles
bor;7000;7000-286;bor_307;bor_308;spiclin->basiliscum;;0333-01-01,,,0334-12-31;?;7000-285;12 miles
bor;7000;7000-287;bor_308;bor_272;basiliscum->arcas;;0333-01-01,,,0334-12-31;?;7000-286;8 miles
bor;7000;7000-304;bor_309;bor_287;calamon->sicaminos;;0333-01-01,,,0334-12-31;?;7000-303;3 miles
