sequence	latin	stewart	certain	names_pleiades	uri	paris	verona	al	variants	modern_19c	distance	unit	notes
1	burdigala	Bordigala			http://pleiades.stoa.org/places/138248					Bordeaux			
2	stomatas	Stomatæ			http://pleiades.stoa.org/places/138599					Castres	7	league	
3	sirione	Senone			http://pleiades.stoa.org/places/138593				Sirio	Pont de Ciron	9	league	
4	vasatas	Vasates			http://pleiades.stoa.org/places/138313	Vasatas			Cossio	Bazzas	8	league	
5	tres arbores	Three Trees			http://pleiades.stoa.org/places/138626				Tres Arbes		5	league	
6	oscineio	Oscineium			http://pleiades.stoa.org/places/138504					Houeilles?	8	league	
7	scittio	Scotium			http://pleiades.stoa.org/places/246662	Scitio			Sotium	Sos	8	league	
8	elusa	Elusa			http://pleiades.stoa.org/places/246380		Tolosa			Eauze	8	league	
9	vanesia	Vanesia			http://pleiades.stoa.org/places/246727						12	league	
10	auscius	Auscius			http://pleiades.stoa.org/places/246379				Climberrum, Augusta, Auscorum	Auch	8	league	
11	ad sextum	6th league	?		http://pleiades.stoa.org/places/206893						6	league	
12	hungunuerro	Hungunverrum			http://pleiades.stoa.org/places/246420		Hungunerru				7	league	
13	bucconis	Buccones			http://pleiades.stoa.org/places/246260	Bucconia				L'Isle en Jourdain?	7	league	
14	ad iouem	Temple of Jupiter			http://pleiades.stoa.org/places/246136						7	league	
15	tholosa	Tolosa			http://pleiades.stoa.org/places/246694					Toulouse	7	league	
16	ad nonum	9th milestone			http://pleiades.stoa.org/places/246137						9	league	
17	ad vicesimum	20th milestone			http://pleiades.stoa.org/places/246143						11	mile	
18	elusione	Elusio			http://pleiades.stoa.org/places/246381		Eleusione				9	mile	
19	sostomago	Sostomagus			http://pleiades.stoa.org/places/246660					Castelnaudary?	9	mile	
20	hebromago	Hebromagus			http://pleiades.stoa.org/places/246413		Ebromago			Bram	10	mile	
21	cedros	Cædri			http://pleiades.stoa.org/places/246320						6	mile	
22	castellum carcassone	Carcasso			http://pleiades.stoa.org/places/246294					Carcassonne	8	mile	
23	tricensimum	30th milestone*			http://pleiades.stoa.org/places/246706	Tricencimum					8	mile	
24	hosuerbas	Hosuerbas			http://pleiades.stoa.org/places/246720		Husuerbas				15	mile	
25	narbone	Narbo			http://pleiades.stoa.org/places/246347					Narbonne	15	mile	
26	beterris	Beterræ			http://pleiades.stoa.org/places/148056	Biterris			Bæterræ	Béziers	16	mile	
