id;sequence;latin;stewart;paris;verona;al;variants;modern_19c;distance;unit;notes;uri;names_pl
1;1;burdigala;Bordigala;;;;;Bordeaux;;;;;
325;325;caesarea;Cæsarea;;;;;Kaisarîeh;16;mile;;;
11;11;ad sextum;6th league;;;;;;6;league;;;
16;16;ad nonum;9th milestone;;;;;;9;league;;;
22;22;castellum carcassone;Carcasso;;;;;Carcassonne;8;mile;;;
28;28;foro domiti;Forum Domiti;;;;;;18;mile;;;
40;40;nouem craris;Novem Craris;;Novencrares;;;;15;mile;;;
44;44;valentia;Valentia;;;;;Valence;9;mile;;;
54;54;ad finem;frontier;;;;;;12;mile;;;
63;63;ad duodecimum;12th milestone;;;;;;12;mile;;;
65;65;ad octauum;8th milestone;;;;;;8;mile;;;
67;67;ad decimum;10th milestone;;;;;;10;mile;;;
71;71;ad medias;Mediæ;;;;;;10;mile;;;
76;76;ad decimum;10th milestone;;;;;;10;mile;;;
77;77;mediolanum;Mediolanum;;;;;Milan;10;mile;;;
90;90;ad finem;frontier;;;;;;11;mile;;;
92;92;ad duodecimum;12th milestone;;;;;;12;mile;;;
93;93;ad nonum;9th milestone;;;;;;11;mile;;;
98;98;ad vndecimum;11th milestone;;;;;;10;mile;;;
100;100;ad vndecimum;11th milestone;;;;;;11;mile;;;
102;102;;the Camp;;;;;;12;mile;Cold River?;;
103;103;;Pirus;;;;;;9;mile;;;
105;105;ad nonum;9th milestone;;;;;;9;mile;;;
109;109;ad medias;Mediæ;;;;;;13;mile;;;
116;116;aqua viua;Aqua viva;;;;;;9;mile;;;
135;135;vlmo;Ulmus;;;;;;11;mile;;;
144;144;ad sextum;6th milestone;;;;;;6;mile;;;
145;145;tricornia castra;Tricornia Castra;;;;;Ritopek;6;mile;;;
146;146;ad sextum;6th milestone;;;;;;7;mile;;;
151;151;ad nonum;9th milestone;;;;;;9;mile;;;
156;156;ad octauum;8th milestone;;;;;;9;mile;;;
164;164;vlmo;Ulmus;;;;;;7;mile;;;
172;172;serdica;Serdica;;;;;Sophia;11;mile;;;
179;179;bona mansio;Bona Mansio;;;;;;6;mile;;;
180;180;alusore;Alusor;;;;;;9;mile;;;
182;182;tugugero;Tugugerum;;;;;;9;mile;;;
203;203;heraclea;Heraclea;;;;;Eregli;9;mile;;;
208;208;regio;Regio;;;;Regium;Kutchúk Chekmejek;12;mile;;;
209;209;constantinopoli;Constantinople;;;;;Istanbul;12;mile;;;
224;224;tutaio;Tutadus;Tutaio;;;Tottaion;near Geivek;9;mile;;;
226;226;artemis;Artemis;;;;;;12;mile;;;
229;229;fines;frontier;;;;;;10;mile;;;
232;232;milia;Milia;;Melia;;;;11;mile;;;
241;241;anchira galatia;Anchira;;;;Ancyra;Angora;13;mile;;;
248;248;andrapa;Andrapa;;;;;;9;mile;;;
278;278;platanus;Platanus;;;;;;8;mile;;;
279;279;baccaias;Bacchaiæ;;Baccaias;;;;8;mile;;;
280;280;catelas;Catelæ;;;;;;16;mile;;;
286;286;spiclin;Spicilis;;;;;;12;mile;;;
287;287;basiliscum;Basiliscum;;Baselisco;;;;12;mile;;;
290;290;tripoli;Tripolis;;;;;Tarabulus;12;mile;;;
292;292;bruttos alia;Bruttus alius;;;;;;12;mile;;;
299;299;ad nonum;9th milestone;;;;;;4;mile;;;
304;304;calamon;Calamon;;Calomon;;;Tell es Semak;12;mile;;;
306;306;certha;Certa;;;;;;8;mile;;;
308;308;maximianopoli;Maximianopolis;;;;;;18;mile;;;
312;312;Neapoli;Neapolis;;;;;Nâblus;15;mile;;;
314;314;;Jericho;;;;;Jericho;18;mile;;;
315;315;;Dead Sea;;;;;;9;mile;;;
316;316;;Jordan;;;;;;5;mile;;;
317;317;;Bethlehem;;;;;;6;mile;;;
318;318;;Bethasora;;Bettasora;;;;14;mile;;;
319;319;;Terebinthus;Therebintus;Therebintus;;;;8;mile;;;
320;320;;Hebron;;;;;;2;mile;;;
321;321;nicopoli;Nicopolis;;;;;'Amwâs;22;mile;;;
322;322;lidda;Lydda;;;;;Lidd;10;mile;;;
323;323;antipatrida;Antipatris;;;;;Râs el 'Ain;10;mile;;;
324;324;betthar;Betthar;;Bettarum;;;Thîreh;10;mile;;;
326;326;aerea;Erea;;;;Heræum;;16;mile;;;
327;327;registo;Registus;;;;Resistus, Bisanthe;Rodosto;12;mile;;;
328;328;bedizo;Bedizum;;;;Beodizum;;12;mile;;;
329;329;apris;Apri;;;;;Ainajik;12;mile;;;
330;330;zesutera;Zesutera;;;;;;12;mile;;;
