collection;place_id;toponym;gazetteer_uri;gazetteer_label;lng;lat;status;source;comment
courier;cou_1;YUNNANFU Yunnan (云南府);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_9755;;102.710350;25.045914;L;PA_1903;
courier;cou_2;YANGLIN Yunnan (杨林);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_80685;;103.061890;25.220108;L;PA_1903;
courier;cou_3;XUNDIAN GUCHENG Yunnan (寻甸);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_1574;;103.253716;25.562204;B;PA_1903;
courier;cou_4;MALONG Yunnan (马龙);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_1575;;103.580208;25.428434;B;PA_1903;
courier;cou_5;NANNING XIAN Yunnan (南宁县);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_121501;;103.796776;25.495844;L;PA_1903;
courier;cou_6;ZHANYI Yunnan (沾益);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_1570;;103.822113;25.609928;B;PA_1903;
courier;cou_7;LANQUANYI Gansu (兰泉驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_70091;;103.847137;36.047031;Y;MDYZK;Lanzhou f
courier;cou_8;JINGUANYI Sichuan (锦官驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_44394;;104.077995;30.650385;N;MDYZK;JINGUAN
courier;cou_9;QINGSHUI Gansu (清水驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_70099;;104.107872;35.846821;Y;MDYZK;
courier;cou_10;XINDU Sichuan (新都驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_44418;;104.160545;30.831390;Y;MDYZK;
courier;cou_12;YANSHOUYI Gansu (延寿驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_70008;;104.620308;35.575092;N;MDYZK;ANDING
courier;cou_13;PU'AN Guizhou (普安);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_99346;;104.649895;25.793142;Y;MDYZK;
courier;cou_14;JINSHANYI Sichuan (金山驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_9705;;104.749298;31.459007;Y;MDYZK;MIANZHOU
courier;cou_15;XINXING Guizhou (新兴驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_99348;;104.952080;25.788410;Y;MDYZK;
courier;cou_16;BAONINGYI Gansu (保宁驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_70016;;105.056137;35.694199;N;MDYZK;HUINING
courier;cou_17;WEIJIUYI Guizhou (尾酒驿);http://maps.cga.harvard.edu/tgaz/placename/json/hvd_99338;;105.215881;25.833469;L;MDYZK;
