collection;place_id;toponym;gazetteer_uri;gazetteer_label;lng;lat;variants_obj;variants
owtrad;1;Antakya;http://topotime.org/owtrad/places/1;Antakya;36.116669;36.233334;[{"id" : 1, "variant" : "Antakiya", "source" : "TGN", "precision" : "exact", "identity" : "exact"}, {"id" : 1, "variant" : "Antakiya", "source" : "TGN", "precision" : "exact", "identity" : "exact"}, {"id" : 1, "variant" : "Antakiya", "source" : "TGN", "precision" : "exact", "identity" : "exact"}, {"id" : 2, "variant" : "Antakiyah", "source" : "TGN", "precision" : "exact", "identity" : "exact"}, {"id" : 3, "variant" : "Antakya", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 6, "variant" : "Antioch on the Orontes", "source" : "TGN", "precision" : "exact", "identity" : "exact"}, {"id" : 11, "variant" : "Antiochia Syriae", "source" : "TGN", "precision" : "exact", "identity" : "exact"}, {"id" : 11, "variant" : "Antiochia Syriae", "source" : "TGN", "precision" : "exact", "identity" : "exact"}, {"id" : 6, "variant" : "Antioch on the Orontes", "source" : "TGN", "precision" : "exact", "identity" : "exact"}, {"id" : 11, "variant" : "Antiochia Syriae", "source" : "TGN", "precision" : "exact", "identity" : "exact"}, {"id" : 12, "variant" : "Antiochien", "source" : "Klimkeit 1988:map", "precision" : "exact", "identity" : "exact"}, {"id" : 3, "variant" : "Antakya", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 6, "variant" : "Antioch on the Orontes", "source" : "TGN", "precision" : "exact", "identity" : "exact"}, {"id" : 12, "variant" : "Antiochien", "source" : "Klimkeit 1988:map", "precision" : "exact", "identity" : "exact"}, {"id" : 12, "variant" : "Antiochien", "source" : "Klimkeit 1988:map", "precision" : "exact", "identity" : "exact"}, {"id" : 6, "variant" : "Antioch on the Orontes", "source" : "TGN", "precision" : "exact", "identity" : "exact"}, {"id" : 12, "variant" : "Antiochien", "source" : "Klimkeit 1988:map", "precision" : "exact", "identity" : "exact"}, {"id" : 12, "variant" : "Antiochien", "source" : "Klimkeit 1988:map", "precision" : "exact", "identity" : "exact"}, {"id" : 2, "variant" : "Antakiyah", "source" : "TGN", "precision" : "exact", "identity" : "exact"}, {"id" : 3, "variant" : "Antakya", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 6, "variant" : "Antioch on the Orontes", "source" : "TGN", "precision" : "exact", "identity" : "exact"}, {"id" : 12, "variant" : "Antiochien", "source" : "Klimkeit 1988:map", "precision" : "exact", "identity" : "exact"}, {"id" : 13, "variant" : "Antiokheia", "source" : "TGN", "precision" : "exact", "identity" : "exact"}, {"id" : 7, "variant" : "Antioche", "source" : "TGN", "precision" : "exact", "identity" : "exact"}, {"id" : 13, "variant" : "Antiokheia", "source" : "TGN", "precision" : "exact", "identity" : "exact"}, {"id" : 13, "variant" : "Antiokheia", "source" : "TGN", "precision" : "exact", "identity" : "exact"}, {"id" : 4, "variant" : "Antakye", "source" : "Frank & Browstone 1986:82", "precision" : "exact", "identity" : "exact"}, {"id" : 7, "variant" : "Antioche", "source" : "TGN", "precision" : "exact", "identity" : "exact"}, {"id" : 13, "variant" : "Antiokheia", "source" : "TGN", "precision" : "exact", "identity" : "exact"}, {"id" : 13, "variant" : "Antiokheia", "source" : "TGN", "precision" : "exact", "identity" : "exact"}, {"id" : 7, "variant" : "Antioche", "source" : "TGN", "precision" : "exact", "identity" : "exact"}, {"id" : 13, "variant" : "Antiokheia", "source" : "TGN", "precision" : "exact", "identity" : "exact"}, {"id" : 14, "variant" : "Hatay", "source" : "TGN", "precision" : "exact", "identity" : "exact"}, {"id" : 1, "variant" : "Antakiya", "source" : "TGN", "precision" : "exact", "identity" : "exact"}, {"id" : 2, "variant" : "Antakiyah", "source" : "TGN", "precision" : "exact", "identity" : "exact"}, {"id" : 4, "variant" : "Antakye", "source" : "Frank & Browstone 1986:82", "precision" : "exact", "identity" : "exact"}, {"id" : 7, "variant" : "Antioche", "source" : "TGN", "precision" : "exact", "identity" : "exact"}, {"id" : 14, "variant" : "Hatay", "source" : "TGN", "precision" : "exact", "identity" : "exact"}, {"id" : 14, "variant" : "Hatay", "source" : "TGN", "precision" : "exact", "identity" : "exact"}, {"id" : 7, "variant" : "Antioche", "source" : "TGN", "precision" : "exact", "identity" : "exact"}, {"id" : 14, "variant" : "Hatay", "source" : "TGN", "precision" : "exact", "identity" : "exact"}, {"id" : 14, "variant" : "Hatay", "source" : "TGN", "precision" : "exact", "identity" : "exact"}, {"id" : 4, "variant" : "Antakye", "source" : "Frank & Browstone 1986:82", "precision" : "exact", "identity" : "exact"}, {"id" : 7, "variant" : "Antioche", "source" : "TGN", "precision" : "exact", "identity" : "exact"}, {"id" : 14, "variant" : "Hatay", "source" : "TGN", "precision" : "exact", "identity" : "exact"}, {"id" : 15, "variant" : "Tetrapolis", "source" : "Frank & Browstone 1986:82", "precision" : "exact", "identity" : "exact"}, {"id" : 8, "variant" : "Antiochea", "source" : "TGN", "precision" : "exact", "identity" : "exact"}, {"id" : 15, "variant" : "Tetrapolis", "source" : "Frank & Browstone 1986:82", "precision" : "exact", "identity" : "exact"}, {"id" : 15, "variant" : "Tetrapolis", "source" : "Frank & Browstone 1986:82", "precision" : "exact", "identity" : "exact"}, {"id" : 2, "variant" : "Antakiyah", "source" : "TGN", "precision" : "exact", "identity" : "exact"}, {"id" : 4, "variant" : "Antakye", "source" : "Frank & Browstone 1986:82", "precision" : "exact", "identity" : "exact"}, {"id" : 8, "variant" : "Antiochea", "source" : "TGN", "precision" : "exact", "identity" : "exact"}, {"id" : 15, "variant" : "Tetrapolis", "source" : "Frank & Browstone 1986:82", "precision" : "exact", "identity" : "exact"}, {"id" : 15, "variant" : "Tetrapolis", "source" : "Frank & Browstone 1986:82", "precision" : "exact", "identity" : "exact"}, {"id" : 8, "variant" : "Antiochea", "source" : "TGN", "precision" : "exact", "identity" : "exact"}, {"id" : 15, "variant" : "Tetrapolis", "source" : "Frank & Browstone 1986:82", "precision" : "exact", "identity" : "exact"}, {"id" : 4, "variant" : "Antakye", "source" : "Frank & Browstone 1986:82", "precision" : "exact", "identity" : "exact"}, {"id" : 8, "variant" : "Antiochea", "source" : "TGN", "precision" : "exact", "identity" : "exact"}, {"id" : 8, "variant" : "Antiochea", "source" : "TGN", "precision" : "exact", "identity" : "exact"}, {"id" : 1, "variant" : "Antakiya", "source" : "TGN", "precision" : "exact", "identity" : "exact"}, {"id" : 1, "variant" : "Antakiya", "source" : "TGN", "precision" : "exact", "identity" : "exact"}, {"id" : 2, "variant" : "Antakiyah", "source" : "TGN", "precision" : "exact", "identity" : "exact"}, {"id" : 4, "variant" : "Antakye", "source" : "Frank & Browstone 1986:82", "precision" : "exact", "identity" : "exact"}, {"id" : 8, "variant" : "Antiochea", "source" : "TGN", "precision" : "exact", "identity" : "exact"}, {"id" : 9, "variant" : "Antiocheia", "source" : "TGN", "precision" : "exact", "identity" : "exact"}, {"id" : 5, "variant" : "Antioch", "source" : "TGN", "precision" : "exact", "identity" : "exact"}, {"id" : 9, "variant" : "Antiocheia", "source" : "TGN", "precision" : "exact", "identity" : "exact"}, {"id" : 9, "variant" : "Antiocheia", "source" : "TGN", "precision" : "exact", "identity" : "exact"}, {"id" : 3, "variant" : "Antakya", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 5, "variant" : "Antioch", "source" : "TGN", "precision" : "exact", "identity" : "exact"}, {"id" : 9, "variant" : "Antiocheia", "source" : "TGN", "precision" : "exact", "identity" : "exact"}, {"id" : 9, "variant" : "Antiocheia", "source" : "TGN", "precision" : "exact", "identity" : "exact"}, {"id" : 5, "variant" : "Antioch", "source" : "TGN", "precision" : "exact", "identity" : "exact"}, {"id" : 9, "variant" : "Antiocheia", "source" : "TGN", "precision" : "exact", "identity" : "exact"}, {"id" : 10, "variant" : "Antiochia", "source" : "TGN", "precision" : "exact", "identity" : "exact"}, {"id" : 2, "variant" : "Antakiyah", "source" : "TGN", "precision" : "exact", "identity" : "exact"}, {"id" : 3, "variant" : "Antakya", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 5, "variant" : "Antioch", "source" : "TGN", "precision" : "exact", "identity" : "exact"}, {"id" : 10, "variant" : "Antiochia", "source" : "TGN", "precision" : "exact", "identity" : "exact"}, {"id" : 10, "variant" : "Antiochia", "source" : "TGN", "precision" : "exact", "identity" : "exact"}, {"id" : 5, "variant" : "Antioch", "source" : "TGN", "precision" : "exact", "identity" : "exact"}, {"id" : 10, "variant" : "Antiochia", "source" : "TGN", "precision" : "exact", "identity" : "exact"}, {"id" : 10, "variant" : "Antiochia", "source" : "TGN", "precision" : "exact", "identity" : "exact"}, {"id" : 3, "variant" : "Antakya", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 5, "variant" : "Antioch", "source" : "TGN", "precision" : "exact", "identity" : "exact"}, {"id" : 10, "variant" : "Antiochia", "source" : "TGN", "precision" : "exact", "identity" : "exact"}, {"id" : 11, "variant" : "Antiochia Syriae", "source" : "TGN", "precision" : "exact", "identity" : "exact"}, {"id" : 6, "variant" : "Antioch on the Orontes", "source" : "TGN", "precision" : "exact", "identity" : "exact"}, {"id" : 11, "variant" : "Antiochia Syriae", "source" : "TGN", "precision" : "exact", "identity" : "exact"}, {"id" : 11, "variant" : "Antiochia Syriae", "source" : "TGN", "precision" : "exact", "identity" : "exact"}];{Antakiya,Antakiyah,Antakya,Antakye,Antioch,"Antioch on the Orontes",Antioche,Antiochea,Antiocheia,Antiochia,"Antiochia Syriae",Antiochien,Antiokheia,Hatay,Tetrapolis}
owtrad;100;Memphis;http://topotime.org/owtrad/places/100;Memphis;31.25;29.866667;[{"id" : 624, "variant" : "Essaouira", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 625, "variant" : "Memphis", "source" : "no data", "precision" : "exact", "identity" : "exact"}, {"id" : 626, "variant" : "Mit Rahina", "source" : "Stone 1989:59", "precision" : "exact", "identity" : "exact"}, {"id" : 627, "variant" : "Noph", "source" : "TGN", "precision" : "exact", "identity" : "exact"}];{Essaouira,Memphis,"Mit Rahina",Noph}
owtrad;1006;Fderik;http://topotime.org/owtrad/places/1006;Fderik;-12.7;22.6833;[{"id" : 4657, "variant" : "Fdeirek", "source" : "no data", "precision" : "exact", "identity" : "exact"}, {"id" : 4658, "variant" : "Fderick", "source" : "no data", "precision" : "exact", "identity" : "exact"}, {"id" : 4659, "variant" : "Fderik", "source" : "no data", "precision" : "exact", "identity" : "exact"}];{Fdeirek,Fderick,Fderik}
owtrad;1007;Taroudannt;http://topotime.org/owtrad/places/1007;Taroudannt;-8.866667;30.483334;[{"id" : 4660, "variant" : "Taroudannt", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 4661, "variant" : "Tarudant", "source" : "ADL", "precision" : "exact", "identity" : "exact"}];{Taroudannt,Tarudant}
owtrad;1008;Essaouira;http://topotime.org/owtrad/places/1008;Essaouira;-9.769722;31.513056;[{"id" : 4662, "variant" : "Arambys", "source" : "ADL", "precision" : "exact", "identity" : "probable"}, {"id" : 4663, "variant" : "As Suwayrah", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 4664, "variant" : "Es Suira", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 4665, "variant" : "Essaouira", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 4666, "variant" : "Magador", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 4667, "variant" : "Mogadar", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 4668, "variant" : "Mogador", "source" : "ADL", "precision" : "exact", "identity" : "exact"}];{Arambys,"As Suwayrah","Es Suira",Essaouira,Magador,Mogadar,Mogador}
owtrad;1009;Figuig;http://topotime.org/owtrad/places/1009;Figuig;-1.226944;32.116669;[{"id" : 4669, "variant" : "Figuig", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 4670, "variant" : "Figuiq", "source" : "ADL", "precision" : "exact", "identity" : "exact"}];{Figuig,Figuiq}
owtrad;1016;Yengisar;http://topotime.org/owtrad/places/1016;Yengisar;76.150002;38.933334;[{"id" : 4697, "variant" : "Yang Hissar", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 4698, "variant" : "Yangi Hisa", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 4699, "variant" : "Yangi-Gisar", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 4700, "variant" : "Yangihessar", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 4701, "variant" : "Yangihissai", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 4702, "variant" : "Yangihissar", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 4703, "variant" : "Yengi Hissar", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 4704, "variant" : "Yengisar", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 4705, "variant" : "Ying-chi-ho-sha-erh", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 4706, "variant" : "Ying-chi-sha", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 4707, "variant" : "Ying-chi-sha-chen", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 4708, "variant" : "Ying-chi-sha-erh", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 4709, "variant" : "Ying-chi-sha-hsien", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 4710, "variant" : "Yingkisha", "source" : "ADL", "precision" : "exact", "identity" : "exact"}];{"Yang Hissar","Yangi Hisa",Yangi-Gisar,Yangihessar,Yangihissai,Yangihissar,"Yengi Hissar",Yengisar,Ying-chi-ho-sha-erh,Ying-chi-sha,Ying-chi-sha-chen,Ying-chi-sha-erh,Ying-chi-sha-hsien,Yingkisha}
owtrad;1017;Grossschweinbarth;http://topotime.org/owtrad/places/1017;Grossschweinbarth;16.616667;48.416668;[{"id" : 4711, "variant" : "Gross Schweinbarth", "source" : "Die Oesterreichische Bernsteinstrasse. 2001.", "precision" : "exact", "identity" : "exact"}, {"id" : 4712, "variant" : "Grossschweinbarth", "source" : "ADL", "precision" : "exact", "identity" : "exact"}];{"Gross Schweinbarth",Grossschweinbarth}
owtrad;1018;Ljubljana;http://topotime.org/owtrad/places/1018;Ljubljana;14.508333;46.055832;[{"id" : 4713, "variant" : "Laibach", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 4714, "variant" : "Ljubljana", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 4715, "variant" : "Lubiana", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 4716, "variant" : "Lubliano", "source" : "ADL", "precision" : "exact", "identity" : "exact"}];{Laibach,Ljubljana,Lubiana,Lubliano}
owtrad;1019;Celje;http://topotime.org/owtrad/places/1019;Celje;15.2675;46.236111;[{"id" : 4717, "variant" : "Celje", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 4718, "variant" : "Cilli", "source" : "ADL", "precision" : "exact", "identity" : "exact"}, {"id" : 4719, "variant" : "Tsel'e", "source" : "ADL", "precision" : "exact", "identity" : "exact"}];{Celje,Cilli,Tsel'e}
