# title: Old World Trade Routes
# lp_id: lp_owtrad
# pub_date: 2012
# timespan: [-200,,,1820,]
# segmentType: hRoutes
# contributors: [T. M. Ciolek]
# description: "Land, river and maritime trade routes of Eurasia and Africa during the period 4,000 BCE (sic) - circa 1820 CE"
collection;route_id;segment_id;source;target;label;geometry;timespan;duration;follows;dataset;dataid;uses;type;role;goods;dir;dist;travmode;travtime;dataqlty;src;probl
owtrad;afr_150-230;tmcEGm0200_004a;7;123;Aelana_Petra (150-230);[[35,29.517],[35.433,30.333]];150,,,230,;;;tmcEGm0200;tmcEGm0200_004a;trd;cd;maj;[A000,B000,C000];nkn;d000dd;nkn;t000t;QC4;Stone 1989:90-91;P000
owtrad;afr_150-230;tmcEGm0200_045a;740;752;loc02-tmc010103_Apollonia (150-230);[[27.233334,31.35],[21.966667,32.900002]];150,,,230,;;;tmcEGm0200;tmcEGm0200_045a;trd;cd;maj;[A000,B000,C000];nkn;d000dd;nkn;t000t;QC4;Stone 1989:90-91;P000
owtrad;afr_150-230;tmcEGm0200_006a;114;771;Alexandria_Nicopolis (150-230);[[29.9,31.2],[29.95,31.2]];150,,,230,;;;tmcEGm0200;tmcEGm0200_006a;trd;cd;maj;[A000,B000,C000];nkn;d000dd;nkn;t000t;QC4;Stone 1989:90-91;P000
owtrad;afr_150-230;tmcEGm0200_007a;114;100;Alexandria_Memphis (150-230);[[29.9,31.2],[31.25,29.866667]];150,,,230,;;;tmcEGm0200;tmcEGm0200_007a;trd;cd;maj;[A000,B000,C000];nkn;d000dd;nkn;t000t;QC4;Stone 1989:90-91;P000
owtrad;afr_150-230;tmcEGm0200_008a;1;48;Antiochia_Damascus (150-230);[[36.116669,36.233334],[36.299999,33.5]];150,,,230,;;;tmcEGm0200;tmcEGm0200_008a;trd;cd;maj;[A000,B000,C000];nkn;d000dd;nkn;t000t;QC4;Stone 1989:90-91;P000
owtrad;afr_150-230;tmcEGm0200_009a;1;130;Antiochia_Dura Europos (150-230);[[36.116669,36.233334],[40.724998,34.75]];150,,,230,;;;tmcEGm0200;tmcEGm0200_009a;trd;cd;maj;[A000,B000,C000];nkn;d000dd;nkn;t000t;QC4;Stone 1989:90-91;P000
owtrad;afr_150-230;tmcEGm0200_010a;776;779;Augila Oasis_loc06-tmc010103 (150-230);[[21.286943,29.108055],[19.583332,30.416668]];150,,,230,;;;tmcEGm0200;tmcEGm0200_010a;trd;cd;maj;[A000,B000,C000];nkn;d000dd;nkn;t000t;QC4;Stone 1989:90-91;P000
owtrad;afr_150-230;tmcEGm0200_011a;776;728;Augila Oasis_loc05-tmc010103 (150-230);[[21.286943,29.108055],[21.016666,25.616667]];150,,,230,;;;tmcEGm0200;tmcEGm0200_011a;trd;cd;maj;[A000,B000,C000];nkn;d000dd;nkn;t000t;QC4;Stone 1989:90-91;P000
owtrad;afr_150-230;tmcEGm0200_012a;776;502;Augila Oasis_Siwa Oasis (150-230);[[21.286943,29.108055],[25.666668,29.166668]];150,,,230,;;;tmcEGm0200;tmcEGm0200_012a;trd;cd;maj;[A000,B000,C000];nkn;d000dd;nkn;t000t;QC4;Stone 1989:90-91;P000
owtrad;afr_150-230;tmcEGm0200_013a;26;134;Berenice_Coptus (150-230);[[35.466667,23.916668],[32.817,26]];150,,,230,;;;tmcEGm0200;tmcEGm0200_013a;trd;cd;maj;[A000,B000,C000];nkn;d000dd;nkn;t000t;QC4;Stone 1989:90-91;P000
